Temperature_C,Humidity_pct,CO2_ppm,Illuminance_lux,Productive
21.3,47.0,1041,477,1
31.2,47.7,671,0,0
23.8,47.1,400,903,1
18.3,67.0,1008,722,1
24.5,58.9,400,300,1
21.3,5.9,872,124,0
27.4,59.8,400,486,1
21.4,52.9,1694,421,0
22.2,49.7,1264,488,0
16.4,44.2,942,447,0
22.2,66.9,1405,526,1
14.3,64.2,561,761,1
17.7,38.4,1117,542,1
27.0,56.1,979,137,0
27.1,35.4,1005,740,0
25.7,29.3,1408,810,0
20.1,40.6,1192,1188,1
23.8,62.9,1015,119,0
24.0,64.3,400,460,1
19.4,57.7,515,0,1
30.0,60.9,850,538,0
27.5,57.7,937,262,0
23.1,40.4,447,880,1
24.1,56.5,1864,206,1
24.8,62.0,1506,0,0
15.8,61.3,1140,282,0
23.0,67.8,928,0,0
21.3,60.6,815,587,1
20.0,55.3,519,0,1
22.9,66.1,930,407,1
31.2,49.6,1003,0,0
26.6,36.8,403,319,1
21.7,47.6,1033,810,1
26.3,38.8,837,490,0
